rng_name,rands/second,Seed,d,g,test_name,ntup,tsamples,psamples,p-value,Assessment
borosh13,2.75e+08,1546708672,000,000,diehard_birthdays,0,100,100,0.00000000,FAILED
borosh13,2.61e+08,2424722790,000,000,diehard_birthdays,0,100,100,0.00111185,WEAK
borosh13,2.74e+08,242616011,000,000,diehard_birthdays,0,100,100,0.06473010,PASSED
borosh13,2.39e+08,2784748963,000,000,diehard_birthdays,0,100,100,0.94881153,PASSED
borosh13,2.78e+08,311485989,000,000,diehard_birthdays,0,100,100,0.62852279,PASSED
borosh13,2.70e+08,3845986378,000,000,diehard_birthdays,0,100,100,0.00000009,FAILED
borosh13,2.68e+08,3891621942,000,000,diehard_birthdays,0,100,100,0.00000006,FAILED
borosh13,2.37e+08,4201583983,000,000,diehard_birthdays,0,100,100,0.97931803,PASSED
borosh13,2.61e+08,482869658,000,000,diehard_birthdays,0,100,100,0.00003541,WEAK
borosh13,2.84e+08,917306787,000,000,diehard_birthdays,0,100,100,0.03705226,PASSED
cmrg,6.18e+07,1004350797,000,001,diehard_birthdays,0,100,100,0.69850446,PASSED
cmrg,6.54e+07,154325011,000,001,diehard_birthdays,0,100,100,0.81240975,PASSED
cmrg,5.93e+07,1590583901,000,001,diehard_birthdays,0,100,100,0.37756209,PASSED
cmrg,6.71e+07,19037595,000,001,diehard_birthdays,0,100,100,0.25319867,PASSED
cmrg,5.91e+07,271446342,000,001,diehard_birthdays,0,100,100,0.24779152,PASSED
cmrg,6.00e+07,3783313484,000,001,diehard_birthdays,0,100,100,0.05349800,PASSED
cmrg,5.86e+07,3881497538,000,001,diehard_birthdays,0,100,100,0.82878348,PASSED
cmrg,6.07e+07,4020613423,000,001,diehard_birthdays,0,100,100,0.92378855,PASSED
cmrg,6.49e+07,558135021,000,001,diehard_birthdays,0,100,100,0.55833201,PASSED
cmrg,5.92e+07,861925421,000,001,diehard_birthdays,0,100,100,0.46642551,PASSED
coveyou,2.78e+08,1330641755,000,002,diehard_birthdays,0,100,100,0.38904376,PASSED
coveyou,2.60e+08,1628276563,000,002,diehard_birthdays,0,100,100,0.43713428,PASSED
coveyou,2.75e+08,252913319,000,002,diehard_birthdays,0,100,100,0.96948393,PASSED
coveyou,2.74e+08,2582642986,000,002,diehard_birthdays,0,100,100,0.58461678,PASSED
coveyou,2.66e+08,2695577175,000,002,diehard_birthdays,0,100,100,0.00090434,WEAK
coveyou,2.73e+08,3631752164,000,002,diehard_birthdays,0,100,100,0.16831529,PASSED
coveyou,2.48e+08,3739671560,000,002,diehard_birthdays,0,100,100,0.59606231,PASSED
coveyou,2.53e+08,3799746690,000,002,diehard_birthdays,0,100,100,0.18104080,PASSED
coveyou,2.73e+08,4012281084,000,002,diehard_birthdays,0,100,100,0.34129798,PASSED
coveyou,2.55e+08,703409441,000,002,diehard_birthdays,0,100,100,0.60754797,PASSED
fishman18,6.19e+07,1166506967,000,003,diehard_birthdays,0,100,100,0.81955691,PASSED
fishman18,5.89e+07,1183114796,000,003,diehard_birthdays,0,100,100,0.53242430,PASSED
fishman18,6.25e+07,1410849151,000,003,diehard_birthdays,0,100,100,0.99501625,WEAK
fishman18,6.24e+07,1999109624,000,003,diehard_birthdays,0,100,100,0.58404410,PASSED
fishman18,5.91e+07,2356140580,000,003,diehard_birthdays,0,100,100,0.68406372,PASSED
fishman18,5.67e+07,2391326878,000,003,diehard_birthdays,0,100,100,0.61840615,PASSED
fishman18,6.09e+07,2502996846,000,003,diehard_birthdays,0,100,100,0.15027221,PASSED
fishman18,5.62e+07,3904878028,000,003,diehard_birthdays,0,100,100,0.64224184,PASSED
fishman18,5.59e+07,4030136737,000,003,diehard_birthdays,0,100,100,0.47285027,PASSED
fishman18,6.23e+07,787281144,000,003,diehard_birthdays,0,100,100,0.28453658,PASSED
fishman20,1.47e+08,104273113,000,004,diehard_birthdays,0,100,100,0.29594879,PASSED
fishman20,1.45e+08,2479903230,000,004,diehard_birthdays,0,100,100,0.96840169,PASSED
fishman20,1.53e+08,2608055479,000,004,diehard_birthdays,0,100,100,0.26504411,PASSED
fishman20,1.53e+08,2627150257,000,004,diehard_birthdays,0,100,100,0.19691541,PASSED
fishman20,1.50e+08,2980947592,000,004,diehard_birthdays,0,100,100,0.21159179,PASSED
fishman20,1.53e+08,3450829526,000,004,diehard_birthdays,0,100,100,0.57105501,PASSED
fishman20,1.44e+08,3609362159,000,004,diehard_birthdays,0,100,100,0.72380507,PASSED
fishman20,1.51e+08,3810280252,000,004,diehard_birthdays,0,100,100,0.19087975,PASSED
fishman20,1.63e+08,3962645507,000,004,diehard_birthdays,0,100,100,0.44365947,PASSED
fishman20,1.49e+08,4165172443,000,004,diehard_birthdays,0,100,100,0.72489852,PASSED
fishman2x,1.38e+08,2244267201,000,005,diehard_birthdays,0,100,100,0.58548369,PASSED
fishman2x,1.34e+08,2433978765,000,005,diehard_birthdays,0,100,100,0.03167780,PASSED
fishman2x,1.31e+08,2660891559,000,005,diehard_birthdays,0,100,100,0.99991417,WEAK
fishman2x,1.30e+08,284188912,000,005,diehard_birthdays,0,100,100,0.64956427,PASSED
fishman2x,1.35e+08,2994817811,000,005,diehard_birthdays,0,100,100,0.47284002,PASSED
fishman2x,1.37e+08,4033986172,000,005,diehard_birthdays,0,100,100,0.50373014,PASSED
fishman2x,1.40e+08,4189124967,000,005,diehard_birthdays,0,100,100,0.05142481,PASSED
fishman2x,1.37e+08,4215041988,000,005,diehard_birthdays,0,100,100,0.69699490,PASSED
fishman2x,1.35e+08,641162739,000,005,diehard_birthdays,0,100,100,0.81126811,PASSED
fishman2x,1.27e+08,73180349,000,005,diehard_birthdays,0,100,100,0.51553328,PASSED
gfsr4,2.19e+08,1216649514,000,006,diehard_birthdays,0,100,100,0.66097313,PASSED
gfsr4,2.13e+08,135818140,000,006,diehard_birthdays,0,100,100,0.57723599,PASSED
gfsr4,2.17e+08,1499782115,000,006,diehard_birthdays,0,100,100,0.84552982,PASSED
gfsr4,2.21e+08,1583644394,000,006,diehard_birthdays,0,100,100,0.79183211,PASSED
gfsr4,2.15e+08,2642721175,000,006,diehard_birthdays,0,100,100,0.24298046,PASSED
gfsr4,2.30e+08,2848573440,000,006,diehard_birthdays,0,100,100,0.19745770,PASSED
gfsr4,2.05e+08,3229929649,000,006,diehard_birthdays,0,100,100,0.31843016,PASSED
gfsr4,2.04e+08,3428312013,000,006,diehard_birthdays,0,100,100,0.44427966,PASSED
gfsr4,2.27e+08,89632395,000,006,diehard_birthdays,0,100,100,0.75037535,PASSED
gfsr4,2.24e+08,993189327,000,006,diehard_birthdays,0,100,100,0.04358698,PASSED
knuthran,1.90e+08,1219757946,000,007,diehard_birthdays,0,100,100,0.71146242,PASSED
knuthran,1.64e+08,1977007256,000,007,diehard_birthdays,0,100,100,0.74448139,PASSED
knuthran,1.80e+08,19997929,000,007,diehard_birthdays,0,100,100,0.65345111,PASSED
knuthran,1.90e+08,2334205180,000,007,diehard_birthdays,0,100,100,0.96803410,PASSED
knuthran,1.77e+08,2988722358,000,007,diehard_birthdays,0,100,100,0.39828485,PASSED
knuthran,1.78e+08,3035974572,000,007,diehard_birthdays,0,100,100,0.24986369,PASSED
knuthran,1.88e+08,3061469966,000,007,diehard_birthdays,0,100,100,0.65410301,PASSED
knuthran,1.90e+08,3564830236,000,007,diehard_birthdays,0,100,100,0.21112349,PASSED
knuthran,1.77e+08,3840265128,000,007,diehard_birthdays,0,100,100,0.70454454,PASSED
knuthran,1.77e+08,4148831156,000,007,diehard_birthdays,0,100,100,0.99549619,WEAK
